날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-01-05 16,부산 중구,광복동,221112,.004,.5,.029,.016,35,26
2020-01-05 17,부산 중구,광복동,221112,.004,.5,.025,.02,36,21
2020-01-05 18,부산 중구,광복동,221112,.004,.5,.03,.017,34,24
2020-01-05 19,부산 중구,광복동,221112,.003,.6,.007,.035,34,18
2020-01-05 20,부산 중구,광복동,221112,.003,.6,.005,.038,36,15
2020-01-05 21,부산 중구,광복동,221112,.003,.6,.007,.035,34,20
2020-01-05 22,부산 중구,광복동,221112,.003,.5,.004,.036,23,10
2020-01-05 23,부산 중구,광복동,221112,.003,.6,.004,.037,23,10
2020-01-05 24,부산 중구,광복동,221112,.003,.7,.003,.036,22,8
2020-01-06 01,부산 중구,광복동,221112,.003,.7,.002,.041,26,9
2020-01-06 02,부산 중구,광복동,221112,.004,.7,.002,.04,27,16
2020-01-06 03,부산 중구,광복동,221112,.004,.6,.002,.04,35,17
2020-01-06 04,부산 중구,광복동,221112,.005,.5,.002,.039,25,15
2020-01-06 05,부산 중구,광복동,221112,.005,.5,.002,.036,23,18
2020-01-06 06,부산 중구,광복동,221112,.007,.5,.003,.035,25,15
2020-01-06 07,부산 중구,광복동,221112,.006,.6,.003,.035,26,19
2020-01-06 08,부산 중구,광복동,221112,.005,.7,.003,.038,31,24
2020-01-06 09,부산 중구,광복동,221112,.004,.7,.002,.04,36,22
2020-01-06 10,부산 중구,광복동,221112,.005,.7,.003,.045,33,21
2020-01-06 11,부산 중구,광복동,221112,.009,.8,.003,.047,44,26
2020-01-06 12,부산 중구,광복동,221112,.008,.7,.003,.059,52,32
2020-01-06 13,부산 중구,광복동,221112,.006,.7,.004,.053,42,24
2020-01-06 14,부산 중구,광복동,221112,,,,,26,25
2020-01-06 15,부산 중구,광복동,221112,.005,.6,.003,.04,26,21
2020-01-06 16,부산 중구,광복동,221112,.004,.6,.003,.047,30,20
2020-01-06 17,부산 중구,광복동,221112,.003,.5,.003,.042,22,17
2020-01-06 18,부산 중구,광복동,221112,.003,.6,.002,.038,16,18
2020-01-06 19,부산 중구,광복동,221112,.003,.6,.002,.039,13,13
2020-01-06 20,부산 중구,광복동,221112,.003,.5,.002,.043,17,14
2020-01-06 21,부산 중구,광복동,221112,.003,.4,.006,.035,12,14
2020-01-06 22,부산 중구,광복동,221112,.003,.4,.005,.032,10,10
2020-01-06 23,부산 중구,광복동,221112,.003,.3,.02,.016,9,8
2020-01-06 24,부산 중구,광복동,221112,.003,.4,.012,.023,6,6
2020-01-07 01,부산 중구,광복동,221112,.003,.4,.017,.017,8,7
2020-01-07 02,부산 중구,광복동,221112,.003,.4,.023,.01,10,10
2020-01-07 03,부산 중구,광복동,221112,.003,.4,.023,.009,7,7
2020-01-07 04,부산 중구,광복동,221112,.003,.3,.024,.008,2,3
2020-01-07 05,부산 중구,광복동,221112,.003,.4,.02,.01,2,3
2020-01-07 06,부산 중구,광복동,221112,.003,.4,.009,.019,2,4
2020-01-07 07,부산 중구,광복동,221112,.003,.5,.002,.025,2,5
2020-01-07 08,부산 중구,광복동,221112,.003,.5,.006,.025,6,6
2020-01-07 09,부산 중구,광복동,221112,.003,.4,.007,.028,10,8
2020-01-07 10,부산 중구,광복동,221112,.003,.4,.012,.022,8,12
2020-01-07 11,부산 중구,광복동,221112,.003,.4,.01,.024,6,8
2020-01-07 12,부산 중구,광복동,221112,.003,.5,.006,.028,7,5
2020-01-07 13,부산 중구,광복동,221112,.003,.4,.011,.031,23,12
2020-01-07 14,부산 중구,광복동,221112,.003,.3,.023,.017,15,14
2020-01-07 15,부산 중구,광복동,221112,.003,.3,.028,.012,17,11
2020-01-07 16,부산 중구,광복동,221112,.003,.3,.029,.011,33,9
2020-01-07 17,부산 중구,광복동,221112,.003,.3,.03,.01,27,10
2020-01-07 18,부산 중구,광복동,221112,.003,.3,.025,.014,30,12
2020-01-07 19,부산 중구,광복동,221112,.003,.3,.028,.011,33,14
2020-01-07 20,부산 중구,광복동,221112,.003,.3,.032,.007,36,14
2020-01-07 21,부산 중구,광복동,221112,.003,.3,.031,.007,38,11
2020-01-07 22,부산 중구,광복동,221112,.003,.3,.032,.006,35,10
2020-01-07 23,부산 중구,광복동,221112,.003,.3,.039,.007,49,11
2020-01-07 24,부산 중구,광복동,221112,.003,.3,.038,.009,11,3
2020-01-08 01,부산 중구,광복동,221112,.003,.5,.029,.008,12,2
2020-01-08 02,부산 중구,광복동,221112,.002,.6,.021,.008,14,3
2020-01-08 03,부산 중구,광복동,221112,.002,.5,.018,.008,15,4
2020-01-08 04,부산 중구,광복동,221112,.003,.5,.023,.006,11,7
2020-01-08 05,부산 중구,광복동,221112,.003,.5,.024,.007,9,4
2020-01-08 06,부산 중구,광복동,221112,.003,.5,.025,.008,8,2
2020-01-08 07,부산 중구,광복동,221112,.002,.5,.025,.008,5,2
2020-01-08 08,부산 중구,광복동,221112,.003,.5,.021,.01,3,2
2020-01-08 09,부산 중구,광복동,221112,.003,.5,.022,.01,2,2
2020-01-08 10,부산 중구,광복동,221112,.003,.5,.024,.01,3,2
2020-01-08 11,부산 중구,광복동,221112,.003,.5,.028,.01,3,4
2020-01-08 12,부산 중구,광복동,221112,.002,.5,.032,.007,23,19
2020-01-08 13,부산 중구,광복동,221112,.002,.5,.032,.007,24,19
2020-01-08 14,부산 중구,광복동,221112,.002,.5,.031,.007,28,15
2020-01-08 15,부산 중구,광복동,221112,.002,.5,.029,.008,22,17
2020-01-08 16,부산 중구,광복동,221112,.002,.5,.028,.009,21,19
2020-01-08 17,부산 중구,광복동,221112,.002,.5,.025,.012,22,17
2020-01-08 18,부산 중구,광복동,221112,.002,.5,.026,.01,22,16
2020-01-08 19,부산 중구,광복동,221112,.002,.5,.023,.012,18,14
2020-01-08 20,부산 중구,광복동,221112,.002,.5,.023,.011,21,12
2020-01-08 21,부산 중구,광복동,221112,.002,.5,.022,.011,15,9
2020-01-08 22,부산 중구,광복동,221112,.002,.5,.02,.012,13,5
2020-01-08 23,부산 중구,광복동,221112,.002,.5,.022,.01,17,4
2020-01-08 24,부산 중구,광복동,221112,.002,.5,.025,.008,16,4
2020-01-09 01,부산 중구,광복동,221112,.002,.5,.025,.007,17,6
2020-01-09 02,부산 중구,광복동,221112,.002,.5,.026,.006,17,11
2020-01-09 03,부산 중구,광복동,221112,.002,.5,.026,.006,17,11
2020-01-09 04,부산 중구,광복동,221112,.002,.5,.026,.007,16,10
2020-01-09 05,부산 중구,광복동,221112,.002,.5,.029,.007,17,11
2020-01-09 06,부산 중구,광복동,221112,.002,.4,.029,.007,21,18
2020-01-09 07,부산 중구,광복동,221112,.002,.4,.027,.009,25,17
2020-01-09 08,부산 중구,광복동,221112,.002,.5,.016,.019,31,21
2020-01-09 09,부산 중구,광복동,221112,.002,.5,.023,.014,36,21
2020-01-09 10,부산 중구,광복동,221112,.003,.5,.026,.012,35,22
2020-01-09 11,부산 중구,광복동,221112,.003,.5,.029,.011,41,25
2020-01-09 12,부산 중구,광복동,221112,.003,.5,.032,.01,41,24
2020-01-09 13,부산 중구,광복동,221112,.003,.4,.035,.009,50,25
2020-01-09 14,부산 중구,광복동,221112,.003,.4,.036,.009,33,23
2020-01-09 15,부산 중구,광복동,221112,.003,.4,.035,.01,34,20
2020-01-09 16,부산 중구,광복동,221112,.003,.4,.034,.011,34,20
2020-01-09 17,부산 중구,광복동,221112,.003,.4,.032,.012,37,22
2020-01-09 18,부산 중구,광복동,221112,.003,.4,.03,.014,33,20
2020-01-09 19,부산 중구,광복동,221112,.003,.5,.028,.015,36,21
2020-01-09 20,부산 중구,광복동,221112,.003,.5,.025,.018,34,26
2020-01-09 21,부산 중구,광복동,221112,.003,.4,.029,.014,37,19
2020-01-09 22,부산 중구,광복동,221112,.003,.4,.032,.011,24,18
2020-01-09 23,부산 중구,광복동,221112,.003,.4,.034,.01,23,17
2020-01-09 24,부산 중구,광복동,221112,.003,.4,.032,.01,30,13
2020-01-10 01,부산 중구,광복동,221112,.003,.4,.032,.01,29,19
2020-01-10 02,부산 중구,광복동,221112,.003,.4,.032,.008,33,19
2020-01-10 03,부산 중구,광복동,221112,.003,.4,.03,.009,33,16
2020-01-10 04,부산 중구,광복동,221112,.003,.4,.027,.011,34,18
2020-01-10 05,부산 중구,광복동,221112,.003,.4,.028,.01,35,19
2020-01-10 06,부산 중구,광복동,221112,.003,.4,.026,.011,31,18
2020-01-10 07,부산 중구,광복동,221112,.003,.4,.022,.015,33,20
2020-01-10 08,부산 중구,광복동,221112,.003,.5,.014,.022,29,19
2020-01-10 09,부산 중구,광복동,221112,.003,.5,.016,.02,37,21
2020-01-10 10,부산 중구,광복동,221112,.003,.5,.016,.022,36,21
2020-01-10 11,부산 중구,광복동,221112,.003,.5,.019,.021,48,25
2020-01-10 12,부산 중구,광복동,221112,.003,.5,.023,.018,43,25
2020-01-10 13,부산 중구,광복동,221112,.003,.5,.03,.014,34,23
2020-01-10 14,부산 중구,광복동,221112,.003,.5,.032,.014,32,25
2020-01-10 15,부산 중구,광복동,221112,.004,.5,.024,.022,42,28
2020-01-10 16,부산 중구,광복동,221112,.004,.5,.02,.026,41,27
2020-01-10 17,부산 중구,광복동,221112,.004,.5,.026,.022,41,30
2020-01-10 18,부산 중구,광복동,221112,.003,.5,.025,.022,33,25
2020-01-10 19,부산 중구,광복동,221112,.003,.6,.006,.037,28,14
2020-01-10 20,부산 중구,광복동,221112,.003,.7,.003,.04,40,25
2020-01-10 21,부산 중구,광복동,221112,.003,.6,.003,.041,45,29
2020-01-10 22,부산 중구,광복동,221112,.003,.6,.003,.041,42,24
2020-01-10 23,부산 중구,광복동,221112,.003,.5,.004,.038,40,25
2020-01-10 24,부산 중구,광복동,221112,.003,.5,.009,.032,29,18
2020-01-11 01,부산 중구,광복동,221112,.002,.5,.015,.023,30,16
2020-01-11 02,부산 중구,광복동,221112,.003,.4,.017,.017,33,21
2020-01-11 03,부산 중구,광복동,221112,.003,.4,.018,.015,36,24
2020-01-11 04,부산 중구,광복동,221112,.003,.4,.017,.016,27,19
2020-01-11 05,부산 중구,광복동,221112,.003,.4,.022,.012,30,21
2020-01-11 06,부산 중구,광복동,221112,.003,.4,.017,.015,22,16
2020-01-11 07,부산 중구,광복동,221112,.003,.4,.017,.016,34,18
2020-01-11 08,부산 중구,광복동,221112,.003,.4,.013,.021,31,20
2020-01-11 09,부산 중구,광복동,221112,.003,.5,.019,.019,34,21
2020-01-11 10,부산 중구,광복동,221112,.004,.5,.023,.018,43,26
2020-01-11 11,부산 중구,광복동,221112,.004,.5,.027,.016,35,20
2020-01-11 12,부산 중구,광복동,221112,.003,.6,.034,.012,47,32
2020-01-11 13,부산 중구,광복동,221112,.003,.6,.038,.01,48,35
2020-01-11 14,부산 중구,광복동,221112,.003,.6,.039,.011,61,41
2020-01-11 15,부산 중구,광복동,221112,.003,.6,.039,.012,67,44
2020-01-11 16,부산 중구,광복동,221112,.003,.5,.04,.012,53,37
2020-01-11 17,부산 중구,광복동,221112,.003,.6,.036,.015,46,37
2020-01-11 18,부산 중구,광복동,221112,.003,.6,.031,.019,54,40
2020-01-11 19,부산 중구,광복동,221112,.003,.6,.03,.018,58,45
2020-01-11 20,부산 중구,광복동,221112,.003,.6,.027,.02,57,45
2020-01-11 21,부산 중구,광복동,221112,.003,.6,.029,.017,50,37
2020-01-11 22,부산 중구,광복동,221112,.003,.6,.023,.02,39,26
2020-01-11 23,부산 중구,광복동,221112,.003,.5,.024,.018,46,26
2020-01-11 24,부산 중구,광복동,221112,.003,.5,.025,.016,41,33
2020-01-12 01,부산 중구,광복동,221112,.003,.5,.03,.011,38,26
2020-01-12 02,부산 중구,광복동,221112,.003,.5,.031,.01,35,29
2020-01-12 03,부산 중구,광복동,221112,.003,.5,.03,.009,42,34
2020-01-12 04,부산 중구,광복동,221112,.003,.5,.029,.008,51,40
2020-01-12 05,부산 중구,광복동,221112,.003,.5,.029,.008,50,39
2020-01-12 06,부산 중구,광복동,221112,.003,.5,.028,.009,54,41
2020-01-12 07,부산 중구,광복동,221112,.003,.5,.026,.01,49,40
2020-01-12 08,부산 중구,광복동,221112,.003,.5,.021,.014,49,39
2020-01-12 09,부산 중구,광복동,221112,.003,.5,.022,.013,53,41
2020-01-12 10,부산 중구,광복동,221112,.003,.5,.027,.01,58,42
2020-01-12 11,부산 중구,광복동,221112,.003,.5,.03,.008,50,36
2020-01-12 12,부산 중구,광복동,221112,.003,.5,.033,.008,50,29
2020-01-12 13,부산 중구,광복동,221112,.003,.4,.036,.007,44,35
2020-01-12 14,부산 중구,광복동,221112,.002,.4,.037,.006,36,20
2020-01-12 15,부산 중구,광복동,221112,.002,.4,.036,.007,35,17
2020-01-12 16,부산 중구,광복동,221112,.002,.4,.036,.007,29,18
2020-01-12 17,부산 중구,광복동,221112,.002,.4,.036,.007,21,18
2020-01-12 18,부산 중구,광복동,221112,.002,.4,.034,.008,25,14
2020-01-12 19,부산 중구,광복동,221112,.002,.4,.031,.009,20,12
2020-01-12 20,부산 중구,광복동,221112,.002,.4,.031,.008,20,12
2020-01-12 21,부산 중구,광복동,221112,.002,.4,.032,.007,11,11
2020-01-12 22,부산 중구,광복동,221112,.002,.3,.032,.007,12,4
2020-01-12 23,부산 중구,광복동,221112,.002,.3,.032,.007,19,2
2020-01-12 24,부산 중구,광복동,221112,.002,.3,.034,.006,16,8
2020-01-13 01,부산 중구,광복동,221112,.002,.3,.035,.005,16,9
2020-01-13 02,부산 중구,광복동,221112,.002,.3,.035,.005,14,7
2020-01-13 03,부산 중구,광복동,221112,.002,.3,.034,.005,15,5
2020-01-13 04,부산 중구,광복동,221112,.002,.3,.035,.004,18,8
2020-01-13 05,부산 중구,광복동,221112,.002,.3,.035,.004,19,6
2020-01-13 06,부산 중구,광복동,221112,.002,.3,.032,.006,13,3
2020-01-13 07,부산 중구,광복동,221112,.002,.3,.023,.014,13,6
2020-01-13 08,부산 중구,광복동,221112,.002,.4,.016,.022,18,8
2020-01-13 09,부산 중구,광복동,221112,.002,.4,.019,.018,21,11
2020-01-13 10,부산 중구,광복동,221112,.002,.4,.02,.017,23,14
2020-01-13 11,부산 중구,광복동,221112,.002,.4,.024,.014,22,12
2020-01-13 12,부산 중구,광복동,221112,.002,.4,.027,.012,23,16
2020-01-13 13,부산 중구,광복동,221112,.002,.3,.031,.01,21,14
2020-01-13 14,부산 중구,광복동,221112,.002,.4,.031,.01,19,14
2020-01-13 15,부산 중구,광복동,221112,.002,.4,.031,.01,21,12
2020-01-13 16,부산 중구,광복동,221112,.002,.4,.028,.012,26,11
2020-01-13 17,부산 중구,광복동,221112,.002,.3,.031,.01,23,13
2020-01-13 18,부산 중구,광복동,221112,.002,.4,.029,.01,17,12
2020-01-13 19,부산 중구,광복동,221112,.002,.4,.023,.015,15,8
2020-01-13 20,부산 중구,광복동,221112,.002,.4,.017,.02,18,6
2020-01-13 21,부산 중구,광복동,221112,.002,.4,.016,.02,21,7
2020-01-13 22,부산 중구,광복동,221112,.002,.4,.016,.019,23,10
2020-01-13 23,부산 중구,광복동,221112,.002,.4,.02,.015,17,10
2020-01-13 24,부산 중구,광복동,221112,.002,.4,.024,.012,16,9
2020-01-14 01,부산 중구,광복동,221112,.002,.3,.026,.009,16,9
2020-01-14 02,부산 중구,광복동,221112,.002,.3,.027,.007,13,10
2020-01-14 03,부산 중구,광복동,221112,.002,.3,.025,.008,23,10
2020-01-14 04,부산 중구,광복동,221112,.002,.3,.024,.008,19,8
2020-01-14 05,부산 중구,광복동,221112,.002,.3,.026,.007,19,8
2020-01-14 06,부산 중구,광복동,221112,.003,.3,.026,.008,13,8
2020-01-14 07,부산 중구,광복동,221112,.003,.3,.025,.011,18,7
2020-01-14 08,부산 중구,광복동,221112,.003,.4,.021,.015,21,7
2020-01-14 09,부산 중구,광복동,221112,.003,.4,.019,.018,28,7
2020-01-14 10,부산 중구,광복동,221112,.003,.5,.018,.019,29,11
2020-01-14 11,부산 중구,광복동,221112,.004,.5,.014,.022,36,19
2020-01-14 12,부산 중구,광복동,221112,.004,.6,.015,.021,44,25
2020-01-14 13,부산 중구,광복동,221112,.004,.5,.019,.018,44,27
2020-01-14 14,부산 중구,광복동,221112,.003,.5,.022,.015,36,26
2020-01-14 15,부산 중구,광복동,221112,.003,.5,.021,.016,38,27
2020-01-14 16,부산 중구,광복동,221112,.003,.5,.019,.018,37,28
2020-01-14 17,부산 중구,광복동,221112,.003,.5,.017,.02,36,25
2020-01-14 18,부산 중구,광복동,221112,.003,.5,.014,.024,36,28
2020-01-14 19,부산 중구,광복동,221112,.003,.6,.009,.029,37,25
2020-01-14 20,부산 중구,광복동,221112,.004,.6,.007,.032,39,27
2020-01-14 21,부산 중구,광복동,221112,.004,.6,.009,.029,45,30
2020-01-14 22,부산 중구,광복동,221112,.004,.6,.01,.028,44,26
2020-01-14 23,부산 중구,광복동,221112,.004,.5,.011,.027,44,27
2020-01-14 24,부산 중구,광복동,221112,.004,.5,.015,.022,42,30
2020-01-15 01,부산 중구,광복동,221112,.003,.5,.021,.014,38,26
2020-01-15 02,부산 중구,광복동,221112,.003,.5,.021,.014,39,26
2020-01-15 03,부산 중구,광복동,221112,.003,.5,.02,.014,38,24
2020-01-15 04,부산 중구,광복동,221112,.003,.5,.023,.011,41,21
2020-01-15 05,부산 중구,광복동,221112,.003,.5,.023,.011,38,25
2020-01-15 06,부산 중구,광복동,221112,.003,.5,.021,.012,36,26
2020-01-15 07,부산 중구,광복동,221112,.003,.5,.023,.011,40,30
2020-01-15 08,부산 중구,광복동,221112,.003,.5,.016,.018,38,28
2020-01-15 09,부산 중구,광복동,221112,.004,.5,.014,.02,41,25
2020-01-15 10,부산 중구,광복동,221112,.004,.5,.018,.017,44,31
2020-01-15 11,부산 중구,광복동,221112,.004,.5,.024,.013,44,32
2020-01-15 12,부산 중구,광복동,221112,.003,.4,.028,.011,35,27
2020-01-15 13,부산 중구,광복동,221112,,,,,36,23
2020-01-15 14,부산 중구,광복동,221112,,,,,33,26
2020-01-15 15,부산 중구,광복동,221112,.003,.4,.03,.011,32,22
2020-01-15 16,부산 중구,광복동,221112,.003,.4,.03,.011,34,25
2020-01-15 17,부산 중구,광복동,221112,.003,.4,.028,.013,28,18
2020-01-15 18,부산 중구,광복동,221112,.002,.4,.026,.015,27,20
2020-01-15 19,부산 중구,광복동,221112,.003,.5,.018,.022,28,16
2020-01-15 20,부산 중구,광복동,221112,.003,.6,.004,.036,32,18
2020-01-15 21,부산 중구,광복동,221112,.003,.5,.007,.034,36,22
2020-01-15 22,부산 중구,광복동,221112,.003,.4,.02,.018,28,12
2020-01-15 23,부산 중구,광복동,221112,.003,.4,.016,.02,21,12
2020-01-15 24,부산 중구,광복동,221112,.003,.4,.019,.016,19,11
2020-01-16 01,부산 중구,광복동,221112,.003,.4,.02,.014,21,9
2020-01-16 02,부산 중구,광복동,221112,.003,.4,.021,.012,26,10
2020-01-16 03,부산 중구,광복동,221112,.003,.4,.021,.012,27,13
2020-01-16 04,부산 중구,광복동,221112,.003,.4,.018,.014,27,14
2020-01-16 05,부산 중구,광복동,221112,.003,.4,.018,.013,25,15
2020-01-16 06,부산 중구,광복동,221112,.003,.4,.02,.011,31,13
