,blueWins,blueTowerKills,blueFirstInhibitor,blueInhibitorKills,blueObjectDamageDealt,blueDeath,blueKills,blueDragonKills
1565,0,2,0,0,8009,26,10,0
1566,1,1,0,0,20556,8,21,1
1567,0,2,0,1,5280,49,31,0
1568,1,7,1,1,50545,13,25,2
1569,1,0,0,0,18662,9,11,1
1570,0,8,0,0,61912,40,33,1
1571,1,4,1,2,7477,41,51,0
1572,0,0,0,0,15299,16,9,0
1573,1,8,1,1,57278,26,33,2
1574,1,2,0,0,55278,22,30,1
1575,1,8,1,1,64774,9,31,2
1576,1,4,1,1,9922,17,39,0
1577,0,5,0,0,63249,33,21,1
1578,0,0,0,0,4671,18,4,0
1579,1,4,1,1,9502,35,54,0
1580,0,3,0,0,18283,33,23,1
1581,1,7,1,1,58606,10,17,1
1582,1,4,0,0,25819,11,19,1
1583,1,1,0,0,30183,4,15,1
1584,0,2,0,0,5030,44,42,0
1585,0,1,0,0,11121,33,25,0
1586,1,9,0,1,92123,37,39,1
1587,1,4,0,1,13888,64,76,0
1588,1,6,0,0,50491,14,31,3
1589,1,5,1,1,41570,36,33,1
1590,0,3,0,0,24457,25,10,1
1591,0,0,0,0,13382,33,15,0
1592,0,0,0,0,6922,21,11,0
1593,1,11,1,3,65627,29,35,1
1594,1,6,1,1,54646,15,27,2
1595,0,1,0,0,19141,38,18,0
1596,0,0,0,0,12020,42,20,1
1597,1,9,1,2,67220,31,30,2
1598,0,6,0,0,49254,19,10,1
1599,0,0,0,0,66,3,1,0
1600,0,4,0,0,26377,32,13,1
1601,1,10,1,1,81038,18,32,3
1602,1,10,1,2,76460,19,25,3
1603,0,0,0,0,10397,18,4,0
1604,1,4,1,2,10287,55,68,0
1605,0,3,0,0,52256,28,15,2
1606,1,3,0,0,46427,11,21,2
1607,1,3,0,0,43254,19,24,0
1608,1,2,0,0,20762,12,23,1
1609,0,6,1,1,80623,49,52,2
1610,1,3,0,0,15488,14,30,1
1611,1,9,1,1,106607,24,47,4
1612,0,6,0,0,55220,33,29,1
1613,1,4,1,2,5559,48,65,0
1614,0,3,0,0,10988,25,25,0
1615,0,2,0,0,16682,30,17,0
1616,0,4,0,0,52723,39,25,0
1617,0,0,0,0,845,47,27,0
1618,1,8,1,1,72652,21,40,2
1619,1,9,1,1,66486,27,32,3
1620,0,1,0,0,9718,37,7,0
