날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-08 05,부산 중구,광복동,221112,.004,.3,.04,.006,11,7
2020-05-08 06,부산 중구,광복동,221112,.005,.3,.037,.008,17,6
2020-05-08 07,부산 중구,광복동,221112,.006,.3,.033,.01,14,6
2020-05-08 08,부산 중구,광복동,221112,.005,.4,.032,.012,34,26
2020-05-08 09,부산 중구,광복동,221112,.006,.3,.034,.012,22,11
2020-05-08 10,부산 중구,광복동,221112,.004,.3,.041,.009,22,11
2020-05-08 11,부산 중구,광복동,221112,.004,.3,.045,.008,24,10
2020-05-08 12,부산 중구,광복동,221112,.004,.3,.046,.008,28,9
2020-05-08 13,부산 중구,광복동,221112,.003,.3,.05,.008,24,7
2020-05-08 14,부산 중구,광복동,221112,.003,.3,.055,.007,23,9
2020-05-08 15,부산 중구,광복동,221112,.003,.3,.053,.009,30,13
2020-05-08 16,부산 중구,광복동,221112,.003,.3,.049,.012,41,13
2020-05-08 17,부산 중구,광복동,221112,.004,.3,.044,.014,29,13
2020-05-08 18,부산 중구,광복동,221112,.004,.4,.041,.015,25,10
2020-05-08 19,부산 중구,광복동,221112,.005,.4,.035,.018,24,11
2020-05-08 20,부산 중구,광복동,221112,.005,.4,.023,.025,33,14
2020-05-08 21,부산 중구,광복동,221112,.005,.4,.032,.02,36,15
2020-05-08 22,부산 중구,광복동,221112,.005,.4,.033,.019,26,13
2020-05-08 23,부산 중구,광복동,221112,.005,.4,.034,.018,27,16
2020-05-08 24,부산 중구,광복동,221112,.004,.4,.034,.016,25,15
2020-05-09 01,부산 중구,광복동,221112,.004,.4,.045,.009,21,12
2020-05-09 02,부산 중구,광복동,221112,.004,.3,.044,.008,21,9
2020-05-09 03,부산 중구,광복동,221112,.003,.3,.046,.004,27,9
2020-05-09 04,부산 중구,광복동,221112,.003,.3,.039,.007,27,11
2020-05-09 05,부산 중구,광복동,221112,.003,.3,.035,.008,25,10
2020-05-09 06,부산 중구,광복동,221112,.003,.3,.032,.011,20,9
2020-05-09 07,부산 중구,광복동,221112,.003,.3,.041,.006,16,10
2020-05-09 08,부산 중구,광복동,221112,.003,.3,.035,.009,10,7
2020-05-09 09,부산 중구,광복동,221112,.003,.3,.037,.008,11,6
2020-05-09 10,부산 중구,광복동,221112,.003,.3,.034,.01,12,5
2020-05-09 11,부산 중구,광복동,221112,.003,.3,.039,.008,16,3
2020-05-09 12,부산 중구,광복동,221112,.003,.3,.037,.009,21,6
2020-05-09 13,부산 중구,광복동,221112,.003,.3,.036,.009,10,6
2020-05-09 14,부산 중구,광복동,221112,.003,.4,.024,.016,7,5
2020-05-09 15,부산 중구,광복동,221112,.003,.4,.032,.012,5,6
2020-05-09 16,부산 중구,광복동,221112,.003,.3,.038,.007,5,6
2020-05-09 17,부산 중구,광복동,221112,.003,.3,.037,.007,8,9
2020-05-09 18,부산 중구,광복동,221112,.003,.3,.033,.007,10,8
2020-05-09 19,부산 중구,광복동,221112,.003,.3,.03,.007,6,5
2020-05-09 20,부산 중구,광복동,221112,.003,.3,.029,.008,4,2
2020-05-09 21,부산 중구,광복동,221112,.003,.4,.034,.008,2,5
2020-05-09 22,부산 중구,광복동,221112,.003,.4,.035,.009,14,8
2020-05-09 23,부산 중구,광복동,221112,.003,.4,.037,.008,22,6
2020-05-09 24,부산 중구,광복동,221112,.003,.4,.048,.005,20,9
2020-05-10 01,부산 중구,광복동,221112,.002,.5,.053,.004,13,6
2020-05-10 02,부산 중구,광복동,221112,.003,.5,.052,.005,13,7
2020-05-10 03,부산 중구,광복동,221112,.002,.5,.054,.004,12,9
2020-05-10 04,부산 중구,광복동,221112,.002,.4,.049,.004,11,8
2020-05-10 05,부산 중구,광복동,221112,.002,.4,.046,.004,12,9
2020-05-10 06,부산 중구,광복동,221112,.002,.4,.045,.004,17,9
2020-05-10 07,부산 중구,광복동,221112,.002,.4,.044,.005,16,10
2020-05-10 08,부산 중구,광복동,221112,.003,.4,.043,.006,11,11
2020-05-10 09,부산 중구,광복동,221112,.003,.4,.044,.006,19,12
2020-05-10 10,부산 중구,광복동,221112,.003,.4,.045,.006,11,11
2020-05-10 11,부산 중구,광복동,221112,.003,.4,.045,.007,11,8
2020-05-10 12,부산 중구,광복동,221112,.003,.4,.045,.008,13,10
2020-05-10 13,부산 중구,광복동,221112,.003,.4,.043,.009,18,12
2020-05-10 14,부산 중구,광복동,221112,.003,.4,.044,.009,25,14
2020-05-10 15,부산 중구,광복동,221112,.003,.4,.045,.009,17,13
2020-05-10 16,부산 중구,광복동,221112,.003,.4,.044,.009,31,9
2020-05-10 17,부산 중구,광복동,221112,.003,.4,.043,.009,23,9
2020-05-10 18,부산 중구,광복동,221112,.003,.4,.043,.009,19,9
2020-05-10 19,부산 중구,광복동,221112,.003,.4,.038,.013,22,8
2020-05-10 20,부산 중구,광복동,221112,.003,.5,.031,.017,21,11
2020-05-10 21,부산 중구,광복동,221112,.004,.5,.019,.023,24,14
2020-05-10 22,부산 중구,광복동,221112,.003,.5,.022,.019,25,18
2020-05-10 23,부산 중구,광복동,221112,.003,.4,.045,.005,23,8
2020-05-10 24,부산 중구,광복동,221112,.003,.4,.048,.004,19,8
2020-05-11 01,부산 중구,광복동,221112,.003,.4,.051,.004,24,11
2020-05-11 02,부산 중구,광복동,221112,.003,.4,.052,.004,29,13
2020-05-11 03,부산 중구,광복동,221112,.003,.4,.054,.003,43,12
2020-05-11 04,부산 중구,광복동,221112,.003,.4,.053,.003,30,12
2020-05-11 05,부산 중구,광복동,221112,.003,.4,.053,.004,35,15
2020-05-11 06,부산 중구,광복동,221112,.003,.4,.049,.006,29,12
2020-05-11 07,부산 중구,광복동,221112,.003,.4,.047,.008,29,11
2020-05-11 08,부산 중구,광복동,221112,.003,.4,.049,.008,37,19
2020-05-11 09,부산 중구,광복동,221112,.003,.4,.055,.006,39,18
2020-05-11 10,부산 중구,광복동,221112,.003,.4,.054,.007,53,15
2020-05-11 11,부산 중구,광복동,221112,.003,.4,.049,.011,62,16
2020-05-11 12,부산 중구,광복동,221112,.003,.4,.048,.015,73,9
2020-05-11 13,부산 중구,광복동,221112,.004,.6,.057,.011,54,20
2020-05-11 14,부산 중구,광복동,221112,.004,.5,.086,.01,51,23
2020-05-11 15,부산 중구,광복동,221112,.003,.4,.067,.01,53,20
2020-05-11 16,부산 중구,광복동,221112,.003,.4,.065,.01,52,20
2020-05-11 17,부산 중구,광복동,221112,.003,.5,.064,.013,46,15
2020-05-11 18,부산 중구,광복동,221112,.003,.5,.066,.012,58,20
2020-05-11 19,부산 중구,광복동,221112,.003,.5,.069,.01,60,17
2020-05-11 20,부산 중구,광복동,221112,.003,.5,.063,.012,52,19
2020-05-11 21,부산 중구,광복동,221112,.003,.5,.06,.012,55,20
2020-05-11 22,부산 중구,광복동,221112,.004,.6,.043,.02,54,21
2020-05-11 23,부산 중구,광복동,221112,.004,.5,.043,.019,59,26
2020-05-11 24,부산 중구,광복동,221112,.004,.5,.033,.022,61,21
2020-05-12 01,부산 중구,광복동,221112,.004,.5,.039,.017,59,31
2020-05-12 02,부산 중구,광복동,221112,.004,.5,.038,.016,50,21
2020-05-12 03,부산 중구,광복동,221112,.004,.5,.048,.012,49,23
2020-05-12 04,부산 중구,광복동,221112,.004,.5,.057,.008,53,23
2020-05-12 05,부산 중구,광복동,221112,.004,.5,.055,.008,55,22
2020-05-12 06,부산 중구,광복동,221112,.004,.5,.055,.007,44,14
2020-05-12 07,부산 중구,광복동,221112,.004,.5,.049,.011,39,18
2020-05-12 08,부산 중구,광복동,221112,.004,.5,.053,.01,40,20
2020-05-12 09,부산 중구,광복동,221112,.004,.5,.055,.01,46,30
2020-05-12 10,부산 중구,광복동,221112,.004,.5,.059,.008,59,35
2020-05-12 11,부산 중구,광복동,221112,.003,.5,.061,.007,52,31
2020-05-12 12,부산 중구,광복동,221112,.004,.5,.056,.012,42,16
2020-05-12 13,부산 중구,광복동,221112,.004,.5,.061,.01,53,16
2020-05-12 14,부산 중구,광복동,221112,.004,.4,.062,.009,41,18
2020-05-12 15,부산 중구,광복동,221112,.003,.4,.057,.01,56,15
2020-05-12 16,부산 중구,광복동,221112,.003,.4,.057,.01,51,12
2020-05-12 17,부산 중구,광복동,221112,.003,.4,.058,.011,44,10
2020-05-12 18,부산 중구,광복동,221112,.003,.4,.062,.009,48,11
2020-05-12 19,부산 중구,광복동,221112,.003,.4,.062,.009,49,16
2020-05-12 20,부산 중구,광복동,221112,.004,.4,.061,.01,45,11
2020-05-12 21,부산 중구,광복동,221112,.003,.4,.058,.01,47,16
2020-05-12 22,부산 중구,광복동,221112,.003,.4,.053,.01,55,19
2020-05-12 23,부산 중구,광복동,221112,.003,.3,.046,.005,51,15
2020-05-12 24,부산 중구,광복동,221112,.003,.3,.043,.004,54,11
2020-05-13 01,부산 중구,광복동,221112,.003,.3,.043,.004,50,6
2020-05-13 02,부산 중구,광복동,221112,.003,.3,.041,.004,40,6
2020-05-13 03,부산 중구,광복동,221112,.003,.3,.04,.004,22,7
2020-05-13 04,부산 중구,광복동,221112,.003,.3,.038,.005,20,9
2020-05-13 05,부산 중구,광복동,221112,.003,.3,.041,.004,20,7
2020-05-13 06,부산 중구,광복동,221112,.003,.3,.038,.006,18,6
2020-05-13 07,부산 중구,광복동,221112,.003,.3,.038,.006,20,8
2020-05-13 08,부산 중구,광복동,221112,.003,.3,.036,.008,16,7
2020-05-13 09,부산 중구,광복동,221112,.003,.4,.036,.009,22,8
2020-05-13 10,부산 중구,광복동,221112,.003,.4,.041,.008,27,9
2020-05-13 11,부산 중구,광복동,221112,.003,.4,.047,.007,26,9
2020-05-13 12,부산 중구,광복동,221112,,,,,36,9
2020-05-13 13,부산 중구,광복동,221112,.003,.4,.047,.01,38,9
2020-05-13 14,부산 중구,광복동,221112,.003,.4,.046,.013,38,12
2020-05-13 15,부산 중구,광복동,221112,.003,.4,.049,.013,38,20
2020-05-13 16,부산 중구,광복동,221112,.004,.4,.05,.016,36,11
2020-05-13 17,부산 중구,광복동,221112,.004,.4,.062,.011,38,10
2020-05-13 18,부산 중구,광복동,221112,.004,.4,.066,.01,39,9
2020-05-13 19,부산 중구,광복동,221112,.004,.5,.049,.018,34,10
2020-05-13 20,부산 중구,광복동,221112,.004,.5,.039,.021,35,12
2020-05-13 21,부산 중구,광복동,221112,.004,.4,.048,.011,36,13
2020-05-13 22,부산 중구,광복동,221112,.003,.4,.042,.013,41,13
2020-05-13 23,부산 중구,광복동,221112,.004,.5,.029,.02,42,12
2020-05-13 24,부산 중구,광복동,221112,.004,.4,.03,.018,43,12
2020-05-14 01,부산 중구,광복동,221112,.003,.4,.035,.013,55,12
2020-05-14 02,부산 중구,광복동,221112,.003,.4,.038,.009,62,12
2020-05-14 03,부산 중구,광복동,221112,.003,.4,.04,.008,67,13
2020-05-14 04,부산 중구,광복동,221112,.003,.3,.04,.008,61,14
2020-05-14 05,부산 중구,광복동,221112,.003,.4,.039,.009,59,11
2020-05-14 06,부산 중구,광복동,221112,.003,.4,.033,.012,61,9
2020-05-14 07,부산 중구,광복동,221112,.003,.4,.028,.016,58,10
2020-05-14 08,부산 중구,광복동,221112,.003,.4,.034,.013,62,12
2020-05-14 09,부산 중구,광복동,221112,.004,.5,.02,.023,75,12
2020-05-14 10,부산 중구,광복동,221112,.004,.4,.028,.021,89,21
2020-05-14 11,부산 중구,광복동,221112,.004,.4,.032,.023,117,10
2020-05-14 12,부산 중구,광복동,221112,.004,.4,.032,.021,170,18
2020-05-14 13,부산 중구,광복동,221112,.004,.4,.037,.02,146,21
2020-05-14 14,부산 중구,광복동,221112,.004,.4,.043,.017,85,12
2020-05-14 15,부산 중구,광복동,221112,.004,.3,.046,.017,87,13
2020-05-14 16,부산 중구,광복동,221112,.004,.4,.054,.014,102,14
2020-05-14 17,부산 중구,광복동,221112,.005,.4,.058,.015,109,13
2020-05-14 18,부산 중구,광복동,221112,.005,.4,.058,.018,97,12
2020-05-14 19,부산 중구,광복동,221112,.005,.4,.051,.022,65,17
2020-05-14 20,부산 중구,광복동,221112,.004,.5,.044,.023,64,12
2020-05-14 21,부산 중구,광복동,221112,.005,.5,.033,.028,61,13
2020-05-14 22,부산 중구,광복동,221112,.005,.4,.025,.031,69,16
2020-05-14 23,부산 중구,광복동,221112,.005,.4,.021,.033,61,16
2020-05-14 24,부산 중구,광복동,221112,.005,.4,.028,.027,67,22
2020-05-15 01,부산 중구,광복동,221112,.004,.4,.033,.025,49,16
2020-05-15 02,부산 중구,광복동,221112,.005,.4,.034,.022,48,15
2020-05-15 03,부산 중구,광복동,221112,.005,.4,.029,.022,41,18
2020-05-15 04,부산 중구,광복동,221112,.005,.4,.033,.019,41,16
2020-05-15 05,부산 중구,광복동,221112,.007,.4,.044,.012,40,11
2020-05-15 06,부산 중구,광복동,221112,.009,.4,.038,.015,36,12
2020-05-15 07,부산 중구,광복동,221112,.005,.3,.034,.016,39,20
2020-05-15 08,부산 중구,광복동,221112,.004,.3,.033,.017,32,15
2020-05-15 09,부산 중구,광복동,221112,.004,.4,.03,.018,29,6
2020-05-15 10,부산 중구,광복동,221112,.005,.4,.035,.016,27,9
2020-05-15 11,부산 중구,광복동,221112,.006,.4,.051,.009,37,12
2020-05-15 12,부산 중구,광복동,221112,.004,.4,.044,.011,50,18
2020-05-15 13,부산 중구,광복동,221112,.004,.4,.039,.015,19,14
